"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","124","GetOffering","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","GetOffering"
"","16779","GetProfileInfo","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","GetProfileInfo"
"","35851","UpdateServiceStatus","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","UpdateServiceStatus"
"","174","GetBundleBalance","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","GetBundleBalance"
"","456","AdjustAccount","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","AdjustAccount"
"","30327","GetUsagecdr","KPN Regression Suite","2026-05-19","failed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","GetUsagecdr"
"","36016","UpdateAccountStatus","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","UpdateAccountStatus"
"","10953","ChangeCreditLimit","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","ChangeCreditLimit"
"","302","ChangeOffering_AddDiscount_RemoveCharge","KPN Regression Suite","2026-05-19","failed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","ChangeOffering_AddDiscount_RemoveCharge"
"","19339","SimSwap_ChangeServiceAttribute","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","SimSwap_ChangeServiceAttribute"
"","23551","KPN_PAY_REFUND","KPN Regression Suite","2026-05-19","failed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","KPN_PAY_REFUND"
"","18930","BalanceTransfer","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","BalanceTransfer"
"","413","GetTopupHistory","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","GetTopupHistory"
"","21552","TopupBalance","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","TopupBalance"
"","122","GetAccountHierarchy_MSISDN","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","GetAccountHierarchy_MSISDN"
"","15099","GetPrepaidAccount_MSISDN","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","GetPrepaidAccount_MSISDN"
"","30689","AddOffering","KPN Regression Suite","2026-05-19","failed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","AddOffering"
"","8805","BadPinCounter","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","BadPinCounter"
"","71","TopupBalance_WithVoucher_SMS","KPN Regression Suite","2026-05-19","failed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","TopupBalance_WithVoucher_SMS"
"","30297","GetKpnPay","KPN Regression Suite","2026-05-19","failed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","GetKpnPay"
"","36433","ChangeAddressCustomer","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","ChangeAddressCustomer"
"","15174","GetBillingAccount","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","GetBillingAccount"
"","15505","coinnumberaddition","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","coinnumberaddition"
"","19122","UpdateProfile","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","UpdateProfile"
"","9199","CreateAccount","KPN Regression Suite","2026-05-19","passed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","CreateAccount"
"","23589","KPN_PAY_CREATE","KPN Regression Suite","2026-05-19","failed","2026-05-19","KPNAutomation.RegressionsuitePrepaid","Test_suites","KPNAutomation.RegressionsuitePrepaid","KPN_PAY_CREATE"
